"projectID";"topic";"title"
"805550";"ERC-2018-STG";"ERC Starting Grant"
"804283";"ERC-2018-STG";"ERC Starting Grant"
"802787";"ERC-2018-STG";"ERC Starting Grant"
"803220";"ERC-2018-STG";"ERC Starting Grant"
"802020";"ERC-2018-STG";"ERC Starting Grant"
"805337";"ERC-2018-STG";"ERC Starting Grant"
"802823";"ERC-2018-STG";"ERC Starting Grant"
"804824";"ERC-2018-STG";"ERC Starting Grant"
"801655";"ERC-2018-STG";"ERC Starting Grant"
"805186";"ERC-2018-STG";"ERC Starting Grant"
"802756";"ERC-2018-STG";"ERC Starting Grant"
"804286";"ERC-2018-STG";"ERC Starting Grant"
"802952";"ERC-2018-STG";"ERC Starting Grant"
"804710";"ERC-2018-STG";"ERC Starting Grant"
"804092";"ERC-2018-STG";"ERC Starting Grant"
"804988";"ERC-2018-STG";"ERC Starting Grant"
"804162";"ERC-2018-STG";"ERC Starting Grant"
"803051";"ERC-2018-STG";"ERC Starting Grant"
"802123";"ERC-2018-STG";"ERC Starting Grant"
"804226";"ERC-2018-STG";"ERC Starting Grant"
"801770";"ERC-2018-STG";"ERC Starting Grant"
"804920";"ERC-2018-STG";"ERC Starting Grant"
"803992";"ERC-2018-STG";"ERC Starting Grant"
"803634";"ERC-2018-STG";"ERC Starting Grant"
"802371";"ERC-2018-STG";"ERC Starting Grant"
"804229";"ERC-2018-STG";"ERC Starting Grant"
"803024";"ERC-2018-STG";"ERC Starting Grant"
"804135";"ERC-2018-STG";"ERC Starting Grant"
"804422";"ERC-2018-STG";"ERC Starting Grant"
"802918";"ERC-2018-STG";"ERC Starting Grant"
"802960";"ERC-2018-STG";"ERC Starting Grant"
"802070";"ERC-2018-STG";"ERC Starting Grant"
"802700";"ERC-2018-STG";"ERC Starting Grant"
"802331";"ERC-2018-STG";"ERC Starting Grant"
"802428";"ERC-2018-STG";"ERC Starting Grant"
"802645";"ERC-2018-STG";"ERC Starting Grant"
"803183";"ERC-2018-STG";"ERC Starting Grant"
"804752";"ERC-2018-STG";"ERC Starting Grant"
"801936";"ERC-2018-STG";"ERC Starting Grant"
"802202";"ERC-2018-STG";"ERC Starting Grant"
"805241";"ERC-2018-STG";"ERC Starting Grant"
"805426";"ERC-2018-STG";"ERC Starting Grant"
"805113";"ERC-2018-STG";"ERC Starting Grant"
"802774";"ERC-2018-STG";"ERC Starting Grant"
"805038";"ERC-2018-STG";"ERC Starting Grant"
"805074";"ERC-2018-STG";"ERC Starting Grant"
"803740";"ERC-2018-STG";"ERC Starting Grant"
"802759";"ERC-2018-STG";"ERC Starting Grant"
"803077";"ERC-2018-STG";"ERC Starting Grant"
"802923";"ERC-2018-STG";"ERC Starting Grant"
"801659";"ERC-2018-STG";"ERC Starting Grant"
"802209";"ERC-2018-STG";"ERC Starting Grant"
"803937";"ERC-2018-STG";"ERC Starting Grant"
"803140";"ERC-2018-STG";"ERC Starting Grant"
"803644";"ERC-2018-STG";"ERC Starting Grant"
"802192";"ERC-2018-STG";"ERC Starting Grant"
"804569";"ERC-2018-STG";"ERC Starting Grant"
"805498";"ERC-2018-STG";"ERC Starting Grant"
"804247";"ERC-2018-STG";"ERC Starting Grant"
"805007";"ERC-2018-STG";"ERC Starting Grant"
"805194";"ERC-2018-STG";"ERC Starting Grant"
"805065";"ERC-2018-STG";"ERC Starting Grant"
"802998";"ERC-2018-STG";"ERC Starting Grant"
"803870";"ERC-2018-STG";"ERC Starting Grant"
"803277";"ERC-2018-STG";"ERC Starting Grant"
"802223";"ERC-2018-STG";"ERC Starting Grant"
"804095";"ERC-2018-STG";"ERC Starting Grant"
"801708";"ERC-2018-STG";"ERC Starting Grant"
"801847";"ERC-2018-STG";"ERC Starting Grant"
"803932";"ERC-2018-STG";"ERC Starting Grant"
"804326";"ERC-2018-STG";"ERC Starting Grant"
"803326";"ERC-2018-STG";"ERC Starting Grant"
"802107";"ERC-2018-STG";"ERC Starting Grant"
"805268";"ERC-2018-STG";"ERC Starting Grant"
"804581";"ERC-2018-STG";"ERC Starting Grant"
"802210";"ERC-2018-STG";"ERC Starting Grant"
"803332";"ERC-2018-STG";"ERC Starting Grant"
"804098";"ERC-2018-STG";"ERC Starting Grant"
"804468";"ERC-2018-STG";"ERC Starting Grant"
"802582";"ERC-2018-STG";"ERC Starting Grant"
"804199";"ERC-2018-STG";"ERC Starting Grant"
"802226";"ERC-2018-STG";"ERC Starting Grant"
